Business Name,URL,Phone Number,Person Name,Person Email,Unique ID,Msg Sending Status
24 hrs Plumbing repairs,https://www.kijiji.ca/v-plumber/ottawa/24-hrs-plumbing-repairs/1467146484,613-731-5500,yan,,8f425382,False
"Ottawa Plumbing Services: Installation, Repair & Troubleshooting",https://www.kijiji.ca/v-plumber/ottawa/ottawa-plumbing-services:-installation-repair-troubleshooting/1470149418,613-327-1830,Elgan Plumbing,,a8c7bca2,False
Fully Licensed Plumbing Services Ottawa & Surrounding Areas,https://www.kijiji.ca/v-plumber/ottawa/fully-licensed-plumbing-services-ottawa-surrounding-areas/1441361543,,Adam,,c116020a,False
Need a Plumber?,https://www.kijiji.ca/v-plumber/ottawa/need-a-plumber/1446002381,613-371-1199,Shlomo Brisk,,d892e89e,False
Need a Plumber?,https://www.kijiji.ca/v-plumber/ottawa/need-a-plumber/1446002381?undefined,613-371-1199,Shlomo Brisk,,f3c8ae82,False
